chr,marker,primer,phys.loc,gen.loc,gen.female,gen.male,rec.rate,rr.female,rr.male
1,D1S468,AFM280we5,3766906,4,4.46,3.54,3.35,2.26,2.5
1,D1S2845,AFM344we9,4604712,6.43,6.47,6.39,2.99,2.19,2.26
1,D1S2893,AFM123xc3,4737957,6.43,6.47,6.39,2.93,2.18,2.22
1,D1S2660,AFMa203yc1,4950934,7.09,7.78,6.4,2.84,2.16,2.16
1,D1S2132,GATA68D01,NA,8.06,8.66,7.46,NA,NA,NA
1,D1S2633,AFMa131ya5,6063900,10.11,9.72,10.49,2.25,2.08,1.85
1,D1S2870,AFMa052wg1,6276124,11.37,11.41,11.32,2.1,2.06,1.79
1,D1S2731,AFMb039zg9,6687488,12,12.35,11.64,1.82,2.03,1.67
1,D1S2642,AFMa152xg5,6876371,12,12.35,11.64,1.7,2.01,1.62
1,D1S1646,GATA23G09,7505668,12.14,12.36,11.92,1.38,1.95,1.45
1,D1S2663,AFMa210xg9,7620833,12.84,13.75,11.92,1.34,1.94,1.42
1,D1S2694,AFMa295yh5,7705014,12.9,13.89,11.92,1.31,1.93,1.4
1,D1S548,GATA4H04,7806005,13.08,13.89,12.27,1.28,1.92,1.37
1,D1S2666,AFMa222ze9,7818004,13.08,13.89,12.27,1.28,1.92,1.37
1,D1S508,AFMa128ye9,7969594,13.57,14.86,12.27,1.25,1.9,1.34
1,D1S1612,GGAA3A07,8538762,13.82,14.87,12.78,1.19,1.87,1.23
1,D1S503,AFMa123ya9,10021681,15.52,16.92,14.12,1.41,1.98,1.12
1,D1S450,AFM247te9,NA,16.61,19.09,14.12,NA,NA,NA
1,D1S2736,AFMb049we9,11115605,16.79,19.09,14.49,1.7,2.19,1.15
1,D1S2667,AFMa224wg9,12332845,19.88,22.18,17.59,1.99,2.43,1.19
1,D1S2740,AFMb067xh5,12767043,21.07,23.67,18.47,2.05,2.49,1.19
1,D1S489,AFM309ve9,12894149,21.3,24.14,18.47,2.06,2.51,1.19
1,D1S434,AFM217yh8,13178488,21.31,24.14,18.47,2.08,2.54,1.19
1,D1S1597,GATA27E01,14312898,23.27,26.79,19.75,2.02,2.6,1.19
1,D1S228,AFM196xb4,14563804,24.02,28.27,19.77,1.98,2.59,1.19
1,D1S2834,AFM321zb9,15042038,24.9,30.04,19.77,1.9,2.56,1.19
1,D1S507,AFMa127zc9,15606811,26.24,31.97,20.51,1.8,2.49,1.19
1,D1S2728,AFMb032ze1,15738323,26.81,32.48,21.13,1.78,2.47,1.2
1,D1S2672,AFMa232zb9,15857055,27.22,33.31,21.14,1.76,2.46,1.2
1,D1S1592,GAAT4D10,19581674,32.19,38.82,25.56,1.88,2.28,1.33
1,D1S2826,AFM296te9,20050869,33,38.82,27.19,1.97,2.29,1.31
1,D1S2644,AFMa153xe9,20644639,35.56,43.24,27.88,2.04,2.3,1.27
1,D1S3726,ATA43C09,NA,36.74,44.81,28.67,NA,NA,NA
1,D1S483,AFM296zc9,20956100,36.92,44.81,29.03,2.05,2.29,1.23
