tf_name	target_name	start_position	end_position	direction	binding_score	p_value	binding_sites
abd-A	CG32811	1192370	1192670	(-)	941.22	0.000600	1192386:941.22:0.000600
abd-A	lid	5996735	5997035	(-)	1246.78	0.000117	5997000:1246.78:0.000117 5996795:1030.34:0.000308
abd-A	CG31606	8147360	8147660	(+)	941.22	0.000600	8147399:941.22:0.000600 8147546:864.83:0.000795
abd-A	ClC-a	7630281	7630581	(-)	953.95	0.000404	7630564:953.95:0.000404
abd-A	CG34056	895700	896000	(+)	953.95	0.000404	895885:953.95:0.000404
abd-A	CG33649	13833055	13833355	(-)	1246.78	0.000117	13833218:1246.78:0.000117
abd-A	Cip4	4364052	4364352	(-)	1246.78	0.000117	4364217:1246.78:0.000117 4364288:953.95:0.000404
abd-A	CG15253	15616301	15616601	(-)	852.10	0.000987	15616423:852.10:0.000987
abd-A	tst	19598531	19598831	(-)	1246.78	0.000117	19598656:1246.78:0.000117 19598718:864.83:0.000795
abd-A	chif	16352578	16352878	(-)	1246.78	0.000117	16352773:1246.78:0.000117
abd-A	CG9101	15123858	15124158	(-)	941.22	0.000600	15124117:941.22:0.000600
abd-A	RIC-3	16906317	16906617	(+)	953.95	0.000404	16906395:953.95:0.000404
abd-A	CG5913	21718966	21719266	(+)	1246.78	0.000117	21719045:1246.78:0.000117
abd-A	CG9864	16142125	16142425	(-)	953.95	0.000404	16142271:953.95:0.000404
abd-A	CG34324	13351646	13351946	(-)	1030.34	0.000308	13351828:1030.34:0.000308
abd-A	barr	20061320	20061620	(-)	1246.78	0.000117	20061360:1246.78:0.000117
abd-A	CG9154	6070596	6070896	(-)	941.22	0.000600	6070846:941.22:0.000600
abd-A	Pof	20556669	20556969	(+)	941.22	0.000600	20556762:941.22:0.000600
abd-A	CG6154	22088133	22088433	(+)	941.22	0.000600	22088247:941.22:0.000600
abd-A	Traf6	8051369	8051669	(-)	953.95	0.000404	8051484:953.95:0.000404 8051555:953.95:0.000404
abd-A	polybromo	20630931	20631231	(-)	1246.78	0.000117	20631206:1246.78:0.000117 20631171:941.22:0.000600
abd-A	grsm	8793384	8793684	(-)	941.22	0.000600	8793529:941.22:0.000600
abd-A	CG13461	15045540	15045840	(-)	953.95	0.000404	15045739:953.95:0.000404
abd-A	antr	8735459	8735759	(-)	941.22	0.000600	8735554:941.22:0.000600
abd-A	Cerk	1187738	1188038	(-)	1246.78	0.000117	1187813:1246.78:0.000117
abd-A	CG10859	13398614	13398914	(-)	1246.78	0.000117	13398876:1246.78:0.000117 13398763:941.22:0.000600
abd-A	CG11509	1546103	1546403	(+)	953.95	0.000404	1546242:953.95:0.000404
abd-A	CG12470	201466	201766	(+)	941.22	0.000600	201646:941.22:0.000600
abd-A	CG43441	5478900	5479200	(-)	1157.66	0.000213	5479028:1157.66:0.000213 5479054:1157.66:0.000213
abd-A	CG7509	4805224	4805524	(-)	852.10	0.000987	4805336:852.10:0.000987
abd-A	CG18081	15828326	15828626	(-)	1030.34	0.000308	15828589:1030.34:0.000308
abd-A	CG33696	9636958	9637258	(+)	852.10	0.000987	9637095:852.10:0.000987
abd-A	CG15027	14979810	14980110	(-)	864.83	0.000795	14980028:864.83:0.000795
abd-A	CG30278	18105915	18106215	(-)	864.83	0.000795	18106011:864.83:0.000795 18106022:852.10:0.000987
abd-A	Eip55E	14515172	14515472	(+)	1246.78	0.000117	14515397:1246.78:0.000117
abd-A	Akap200	8426522	8426822	(+)	1157.66	0.000213	8426700:1157.66:0.000213 8426593:852.10:0.000987
abd-A	CG9951	16856013	16856313	(+)	864.83	0.000795	16856086:864.83:0.000795
abd-A	Sp7	3585257	3585557	(+)	864.83	0.000795	3585441:864.83:0.000795
abd-A	Tm1	11116417	11116717	(+)	1030.34	0.000308	11116449:1030.34:0.000308
abd-A	l(3)76BDm	19611571	19611871	(-)	852.10	0.000987	19611829:852.10:0.000987
abd-A	Pdp1	7848598	7848898	(-)	1030.34	0.000308	7848873:1030.34:0.000308
abd-A	CG9312	9591227	9591527	(+)	953.95	0.000404	9591440:953.95:0.000404
abd-A	Npc2h	26571962	26572262	(-)	941.22	0.000600	26572194:941.22:0.000600
abd-A	CG17048	9241976	9242276	(-)	1246.78	0.000117	9242070:1246.78:0.000117 9242138:1246.78:0.000117
abd-A	CG31460	4388144	4388444	(+)	941.22	0.000600	4388255:941.22:0.000600
abd-A	Reph	3805431	3805731	(+)	1246.78	0.000117	3805483:1246.78:0.000117
abd-A	Myo61F	1324312	1324612	(+)	852.10	0.000987	1324521:852.10:0.000987
abd-A	fzy	16310705	16311005	(+)	852.10	0.000987	16310890:852.10:0.000987
abd-A	CG10476	15172674	15172974	(-)	941.22	0.000600	15172845:941.22:0.000600
abd-A	CG11474	17960898	17961198	(-)	941.22	0.000600	17961061:941.22:0.000600
abd-A	CG3800	18824550	18824850	(-)	953.95	0.000404	18824703:953.95:0.000404
abd-A	CG6974	10904957	10905257	(-)	1246.78	0.000117	10905057:1246.78:0.000117
abd-A	CG14270	3379361	3379661	(-)	941.22	0.000600	3379575:941.22:0.000600 3379485:864.83:0.000795
abd-A	CG8349	8215664	8215964	(+)	1157.66	0.000213	8215789:1157.66:0.000213 8215858:852.10:0.000987
abd-A	tacc	574728	575028	(-)	953.95	0.000404	574847:953.95:0.000404
abd-A	CG11313	26556837	26557137	(-)	1157.66	0.000213	26556911:1157.66:0.000213
abd-A	RpL23	18741655	18741955	(+)	864.83	0.000795	18741839:864.83:0.000795
abd-A	CG43332	14163172	14163472	(-)	941.22	0.000600	14163301:941.22:0.000600
abd-A	ZnT35C	15245910	15246210	(-)	852.10	0.000987	15245984:852.10:0.000987
abd-A	RpL4	23748292	23748592	(+)	953.95	0.000404	23748386:953.95:0.000404
abd-A	CG40002	459335	459635	(+)	941.22	0.000600	459583:941.22:0.000600
abd-A	CG13063	16299449	16299749	(+)	1246.78	0.000117	16299597:1246.78:0.000117
abd-A	CG43061	3875144	3875444	(+)	1157.66	0.000213	3875276:1157.66:0.000213
