retrodb_id	organism_name	parental_accession	potential_parentals	chromosome	start	end	strand	status	external_id	inside_intron_of	aliases	percent_identity	
retro_hsap_1	homo_sapiens	ENSG00000186973		7	38725197	38725605	-	KNOWN_PROTEIN_CODING	ENSG00000164556			83.7	
retro_hsap_2	homo_sapiens	ENSG00000241343		14	50085501	50085822	-	KNOWN_PROTEIN_CODING	ENSG00000165502			99.06	
retro_hsap_3	homo_sapiens	ENSG00000221823		9	104356690	104357212	-	KNOWN_PROTEIN_CODING	ENSG00000188386	ENSG00000198785	PPP3R2, PPP3RL	84.71	
retro_hsap_4	homo_sapiens	ENSG00000083750		9	19049657	19050599	+	KNOWN_PROTEIN_CODING	ENSG00000155876		RRAGA, FIP-1, FIP1, RAGA	98.08	
retro_hsap_5	homo_sapiens	ENSG00000114503		X	107037450	107037912	+	KNOWN_PROTEIN_CODING	ENSG00000170935			67.11	
retro_hsap_6	homo_sapiens	ENSG00000228716		3	93779791	93780355	-	KNOWN_PROTEIN_CODING	ENSG00000178700		DHFRL1, DHFRP4	93.44	
retro_hsap_7	homo_sapiens	ENSG00000175582		2	130737688	130738453	+	KNOWN_PROTEIN_CODING	ENSG00000222014		RAB6C, WTH3	91.35	
retro_hsap_8	homo_sapiens	ENSG00000134308		1	27189703	27190450	+	KNOWN_PROTEIN_CODING	ENSG00000175793		SFN, YWHAS	71.85	
retro_hsap_9	homo_sapiens	ENSG00000132507		10	81272405	81272870	+	KNOWN_PROTEIN_CODING	ENSG00000253626		EIF5AL1, EIF5AP1, bA342M3.3	98.05	
retro_hsap_10	homo_sapiens	ENSG00000147224		7	18066448	18067405	-	KNOWN_PROTEIN_CODING	ENSG00000229937		PRPS1L1, PRPS1, PRPS3, PRPSL, PRS-III	94.32	
retro_hsap_11	homo_sapiens	ENSG00000196363		3	122133382	122134375	-	KNOWN_PROTEIN_CODING	ENSG00000196981			86.46	
retro_hsap_12	homo_sapiens	ENSG00000112697		14	61746809	61747865	-	KNOWN_PROTEIN_CODING	ENSG00000182107	ENSG00000027075	TMEM30B, CDC50B	55.43	
retro_hsap_13	homo_sapiens	ENSG00000102030		4	80246341	80247031	-	KNOWN_PROTEIN_CODING	ENSG00000156269			81.28	
retro_hsap_14	homo_sapiens	ENSG00000083720		1	40235373	40236927	-	KNOWN_PROTEIN_CODING	ENSG00000198754	ENSG00000116985	OXCT2, SCOTT	74.37	
retro_hsap_15	homo_sapiens	ENSG00000101882		6	28227149	28228358	+	KNOWN_PROTEIN_CODING	ENSG00000189134		NKAPL, C6orf194, bA424I5.1	69.1	
retro_hsap_16	homo_sapiens	ENSG00000131174		4	46736963	46737209	-	KNOWN_PROTEIN_CODING	ENSG00000170516			70	
retro_hsap_17	homo_sapiens	ENSG00000177889		X	142967202	142967664	+	KNOWN_PROTEIN_CODING	ENSG00000102069		UBE2NL, Li174	91.5	
retro_hsap_18	homo_sapiens	ENSG00000090889		5	154393419	154397124	+	KNOWN_PROTEIN_CODING	ENSG00000226650			93.76	
retro_hsap_19	homo_sapiens	ENSG00000111275		9	38395745	38397299	+	KNOWN_PROTEIN_CODING	ENSG00000137124		ALDH1B1, ALDH5, ALDHX	72.73	
retro_hsap_20	homo_sapiens	ENSG00000258145		17	30506378	30506885	-	KNOWN_PROTEIN_CODING	ENSG00000269402	ENSG00000126858		78.24	
retro_hsap_21	homo_sapiens	ENSG00000131100		2	46739169	46739850	-	KNOWN_PROTEIN_CODING	ENSG00000250565	ENSG00000250565	ATP6V1E2, ATP6E1, ATP6EL2, ATP6V1EL2, VMA4	77.23	
retro_hsap_23	homo_sapiens	ENSG00000147274		1	89448336	89449509	-	KNOWN_PROTEIN_CODING	ENSG00000213516	ENSG00000137944	RBMXL1, RBM1	95.14	
retro_hsap_24	homo_sapiens	ENSG00000132475		12	31944692	31945100	-	KNOWN_PROTEIN_CODING	ENSG00000188375		H3F3C, H3.5	95.59	
retro_hsap_25	homo_sapiens	ENSG00000111775		6	37012635	37012965	+	KNOWN_PROTEIN_CODING	ENSG00000226976			98.17	
retro_hsap_26	homo_sapiens	ENSG00000124422		X	49644910	49646227	+	KNOWN_PROTEIN_CODING	ENSG00000242013		USP27X, USP22L, USP27	84.85	
retro_hsap_27	homo_sapiens	ENSG00000173207		5	61808069	61808309	-	KNOWN_PROTEIN_CODING	ENSG00000268942	ENSG00000068796		100	
retro_hsap_28	homo_sapiens	ENSG00000136238		11	3848792	3849368	-	KNOWN_PROTEIN_CODING	ENSG00000177105		RHOG, ARHG	71.88	
retro_hsap_29	homo_sapiens	ENSG00000156697		13	52602940	52605241	+	KNOWN_PROTEIN_CODING	ENSG00000253797		UTP14C, 2700066J21Rik, KIAA0266, UTP14B	90.22	
retro_hsap_30	homo_sapiens	ENSG00000090060		7	4899527	4901438	-	KNOWN_PROTEIN_CODING	ENSG00000218823	ENSG00000157927	PAPOLB, PAPT, TPAP	86.08	
retro_hsap_31	homo_sapiens	ENSG00000148672		X	120181538	120183215	+	KNOWN_PROTEIN_CODING	ENSG00000182890		GLUD2, GDH2, GLUDP1	95.7	
retro_hsap_32	homo_sapiens	ENSG00000113712		13	37678379	37679393	-	KNOWN_PROTEIN_CODING	ENSG00000180138		CSNK1A1L, CK1	91.04	
retro_hsap_33	homo_sapiens	ENSG00000143321		6	22569804	22570560	+	KNOWN_PROTEIN_CODING	ENSG00000112273		HDGFL1, PWWP1, dJ309H15.1	65.71	
retro_hsap_34	homo_sapiens	ENSG00000170144		5	137088837	137089755	-	KNOWN_PROTEIN_CODING	ENSG00000177733		HNRNPA0, HNRPA0	54.28	
retro_hsap_35	homo_sapiens	ENSG00000156500		9	71395080	71395944	+	KNOWN_PROTEIN_CODING	ENSG00000187866	ENSG00000107242	FAM122A, C9orf42	58.47	
retro_hsap_36	homo_sapiens	ENSG00000134287		14	50360454	50360982	+	KNOWN_PROTEIN_CODING	ENSG00000165527			69.54	
retro_hsap_37	homo_sapiens	ENSG00000125970		1	12907260	12908142	-	KNOWN_PROTEIN_CODING	ENSG00000179172		HNRNPCL1, HNRPCL1	53.99	
retro_hsap_38	homo_sapiens	ENSG00000075624		5	56777403	56778534	-	KNOWN_PROTEIN_CODING	ENSG00000169067	ENSG00000250961	ACTBL2, ACT	91.71	
retro_hsap_39	homo_sapiens	ENSG00000169249		5	112227336	112228776	+	KNOWN_PROTEIN_CODING	ENSG00000212643	ENSG00000129625		90.77	
retro_hsap_41	homo_sapiens	ENSG00000131828		4	96761301	96762468	+	KNOWN_PROTEIN_CODING	ENSG00000163114		PDHA2, PDHAL	85.82	
retro_hsap_42	homo_sapiens	ENSG00000166800		15	59499139	59500285	+	KNOWN_PROTEIN_CODING	ENSG00000171989	ENSG00000157483	LDHAL6B, LDH6B, LDHAL6, LDHL	82.23	
retro_hsap_43	homo_sapiens	ENSG00000107672		12	104697712	104698714	+	KNOWN_PROTEIN_CODING	ENSG00000255150	ENSG00000198431	EID3, NS4EB, NSE4B, NSMCE4B	52.68	
