external_id	canonical_transcript_id	organism_id	chromosome	start	end	strand	status	symbol	aliases	description	
ENSG00000122026	ENST00000311549	homo_sapiens	13	27825445	27830828	+	KNOWN	RPL21	RPL21, L21	ribosomal protein L21 [Source:HGNC Symbol;Acc:10313]	
ENSG00000196262	ENST00000468812	homo_sapiens	7	44836278	44864163	+	KNOWN	PPIA	PPIA, CYPA, CYPH, HEL-S-69p	peptidylprolyl isomerase A (cyclophilin A) [Source:HGNC Symbol;Acc:9253]	
ENSG00000198242	ENST00000422514	homo_sapiens	17	27046410	27051377	+	KNOWN	RPL23A		ribosomal protein L23a [Source:HGNC Symbol;Acc:10317]	
ENSG00000111057	ENST00000388835	homo_sapiens	12	53342654	53346685	+	KNOWN	KRT18	KRT18, CYK18, K18	keratin 18 [Source:HGNC Symbol;Acc:6430]	
ENSG00000135486	ENST00000340913	homo_sapiens	12	54673976	54680872	+	KNOWN	HNRNPA1	HNRNPA1, ALS19, ALS20, HNRPA1, HNRPA1L3, IBMPFD3, hnRNP A1, hnRNP-A1	heterogeneous nuclear ribonucleoprotein A1 [Source:HGNC Symbol;Acc:5031]	
ENSG00000147604	ENST00000352983	homo_sapiens	8	74202505	74208024	-	KNOWN	RPL7	RPL7, L7, humL7-1	ribosomal protein L7 [Source:HGNC Symbol;Acc:10363]	
ENSG00000198830	ENST00000361427	homo_sapiens	1	26798940	26802463	+	KNOWN	HMGN2		high mobility group nucleosomal binding domain 2 [Source:HGNC Symbol;Acc:4986]	
ENSG00000140988	ENST00000343262	homo_sapiens	16	2012052	2014861	-	KNOWN	RPS2	RPS2, LLREP3, S2	ribosomal protein S2 [Source:HGNC Symbol;Acc:10404]	
ENSG00000071082	ENST00000409028	homo_sapiens	2	101618176	101640494	+	KNOWN	RPL31	RPL31, L31	ribosomal protein L31 [Source:HGNC Symbol;Acc:10334]	
ENSG00000197958	ENST00000361436	homo_sapiens	9	130209952	130213684	-	KNOWN	RPL12	RPL12, L12	ribosomal protein L12 [Source:HGNC Symbol;Acc:10302]	
ENSG00000260501	ENST00000564892	homo_sapiens	HG79_PATCH	136223748	136226961	+	KNOWN	RPL7A		ribosomal protein L7a [Source:HGNC Symbol;Acc:10364]	
ENSG00000111640	ENST00000229239	homo_sapiens	12	6643092	6647537	+	KNOWN	GAPDH	GAPDH, G3PD, GAPD, HEL-S-162eP	glyceraldehyde-3-phosphate dehydrogenase [Source:HGNC Symbol;Acc:4141]	
ENSG00000145425	ENST00000274065	homo_sapiens	4	152020724	152025804	+	KNOWN	RPS3A	RPS3A, FTE1, MFTL, S3A	ribosomal protein S3A [Source:HGNC Symbol;Acc:10421]	
ENSG00000189403	ENST00000405805	homo_sapiens	13	31032883	31191734	-	KNOWN	HMGB1	HMGB1, HMG1, HMG3, SBP-1	high mobility group box 1 [Source:HGNC Symbol;Acc:4983]	
ENSG00000134419	ENST00000322989	homo_sapiens	16	18792616	18801705	-	KNOWN	RPS15A	RPS15A, S15a	ribosomal protein S15a [Source:HGNC Symbol;Acc:10389]	
ENSG00000109475	ENST00000394668	homo_sapiens	4	109541721	109551568	+	KNOWN	RPL34	RPL34, L34	ribosomal protein L34 [Source:HGNC Symbol;Acc:10340]	
ENSG00000265681	ENST00000418495	homo_sapiens	18	47014850	47018906	-	KNOWN	RPL17	RPL17, L17, PD-1, RPL23	ribosomal protein L17 [Source:HGNC Symbol;Acc:10307]	
ENSG00000122406	ENST00000370321	homo_sapiens	1	93297581	93307481	+	KNOWN	RPL5	RPL5, DBA6, L5	ribosomal protein L5 [Source:HGNC Symbol;Acc:10360]	
ENSG00000181163	ENST00000296930	homo_sapiens	5	170814119	170838141	+	KNOWN	NPM1	NPM1, B23, NPM	nucleophosmin (nucleolar phosphoprotein B23, numatrin) [Source:HGNC Symbol;Acc:7910]	
ENSG00000161970	ENST00000584164	homo_sapiens	17	8280837	8286531	-	KNOWN	RPL26	RPL26, DBA11, L26	ribosomal protein L26 [Source:HGNC Symbol;Acc:10327]	
ENSG00000170421	ENST00000552150	homo_sapiens	12	53290976	53343738	-	KNOWN	KRT8	KRT8, CARD2, CK-8, CK8, CYK8, K2C8, K8, KO	keratin 8 [Source:HGNC Symbol;Acc:6446]	
ENSG00000163682	ENST00000449470	homo_sapiens	4	39455743	39460568	-	KNOWN	RPL9	RPL9, L9, NPC-A-16	ribosomal protein L9 [Source:HGNC Symbol;Acc:10369]	
ENSG00000156508	ENST00000316292	homo_sapiens	6	74225472	74233520	-	KNOWN	EEF1A1	EEF1A1, CCS-3, CCS3, EE1A1, EEF-1, EEF1A, EF-Tu, EF1A, GRAF-1EF, HNGC:16303, LENG7, PTI1, eEF1A-1	eukaryotic translation elongation factor 1 alpha 1 [Source:HGNC Symbol;Acc:3189]	
ENSG00000142541	ENST00000391857	homo_sapiens	19	49990810	49995565	+	KNOWN	RPL13A	RPL13A, L13A, TSTA1	ribosomal protein L13a [Source:HGNC Symbol;Acc:10304]	
ENSG00000008988	ENST00000519807	homo_sapiens	8	56979853	56987069	-	KNOWN	RPS20		ribosomal protein S20 [Source:HGNC Symbol;Acc:10405]	
ENSG00000089009	ENST00000424576	homo_sapiens	12	112842993	112856642	-	KNOWN	RPL6	RPL6, L6, SHUJUN-2, TAXREB107, TXREB1	ribosomal protein L6 [Source:HGNC Symbol;Acc:10362]	
ENSG00000144713	ENST00000429711	homo_sapiens	3	12875983	12883087	-	KNOWN	RPL32	RPL32, L32	ribosomal protein L32 [Source:HGNC Symbol;Acc:10336]	
ENSG00000112306	ENST00000230050	homo_sapiens	6	133135579	133138703	+	KNOWN	RPS12		ribosomal protein S12 [Source:HGNC Symbol;Acc:10385]	
ENSG00000176171	ENST00000368636	homo_sapiens	10	133781577	133795435	-	KNOWN	BNIP3		BCL2/adenovirus E1B 19kDa interacting protein 3 [Source:HGNC Symbol;Acc:1084]	
ENSG00000148303	ENST00000323345	homo_sapiens	9	136215068	136218281	+	KNOWN	RPL7A	RPL7A, L7A, SURF3, TRUP	ribosomal protein L7a [Source:HGNC Symbol;Acc:10364]	
ENSG00000146223	ENST00000493763	homo_sapiens	6	42847355	42857663	+	KNOWN	RPL7L1	RPL7L1, dJ475N16.4	ribosomal protein L7-like 1 [Source:HGNC Symbol;Acc:21370]	
ENSG00000162244	ENST00000466397	homo_sapiens	3	52027615	52029958	-	KNOWN	RPL29	RPL29, HIP, HUMRPL29, L29, RPL29P10, RPL29_3_370	ribosomal protein L29 [Source:HGNC Symbol;Acc:10331]	
ENSG00000124614	ENST00000326199	homo_sapiens	6	34385230	34393902	-	KNOWN	RPS10	RPS10, DBA9, S10	ribosomal protein S10 [Source:HGNC Symbol;Acc:10383]	
ENSG00000108298	ENST00000225430	homo_sapiens	17	37356535	37360980	+	KNOWN	RPL19	RPL19, L19	ribosomal protein L19 [Source:HGNC Symbol;Acc:10312]	
ENSG00000145592	ENST00000274242	homo_sapiens	5	40825363	40835437	-	KNOWN	RPL37		ribosomal protein L37 [Source:HGNC Symbol;Acc:10347]	
ENSG00000167996	ENST00000273550	homo_sapiens	11	61727189	61735132	-	KNOWN	FTH1	FTH1, FHC, FTH, FTHL6, HFE5, PIG15, PLIF	ferritin, heavy polypeptide 1 [Source:HGNC Symbol;Acc:3976]	
ENSG00000167526	ENST00000393099	homo_sapiens	16	89627064	89630950	+	KNOWN	RPL13	RPL13, BBC1, D16S444E, D16S44E, L13	ribosomal protein L13 [Source:HGNC Symbol;Acc:10303]	
ENSG00000269315	ENST00000599008	homo_sapiens	HG1439_PATCH	100645811	100651105	+	KNOWN	RPL36A		ribosomal protein L36a [Source:HGNC Symbol;Acc:10359]	
ENSG00000241343	ENST00000427805	homo_sapiens	X	100645811	100651105	+	KNOWN	RPL36A	RPL36A, L36A, L44L, MIG6, RPL44	ribosomal protein L36a [Source:HGNC Symbol;Acc:10359]	
ENSG00000198034	ENST00000316084	homo_sapiens	X	71475528	71497150	-	KNOWN	RPS4X		ribosomal protein S4, X-linked [Source:HGNC Symbol;Acc:10424]	
ENSG00000189043	ENST00000339600	homo_sapiens	7	10971577	10979883	-	KNOWN	NDUFA4	NDUFA4, CI-9k, CI-MLRQ, MLRQ	NADH dehydrogenase (ubiquinone) 1 alpha subcomplex, 4, 9kDa [Source:HGNC Symbol;Acc:7687]	
ENSG00000137876	ENST00000260443	homo_sapiens	15	55473003	55489265	-	KNOWN	RSL24D1		ribosomal L24 domain containing 1 [Source:HGNC Symbol;Acc:18479]	
ENSG00000137818	ENST00000260379	homo_sapiens	15	69745122	69748255	+	KNOWN	RPLP1	RPLP1, LP1, P1, RPP1	ribosomal protein, large, P1 [Source:HGNC Symbol;Acc:10372]	
ENSG00000167085	ENST00000300408	homo_sapiens	17	47481413	47492246	-	KNOWN	PHB	PHB, HEL-215, HEL-S-54e, PHB1	prohibitin [Source:HGNC Symbol;Acc:8912]	
ENSG00000115541	ENST00000233893	homo_sapiens	2	198364717	198368181	+	KNOWN	HSPE1	HSPE1, CPN10, EPF, GROES, HSP10	heat shock 10kDa protein 1 (chaperonin 10) [Source:HGNC Symbol;Acc:5269]	
ENSG00000064666	ENST00000263097	homo_sapiens	19	1026297	1039068	+	KNOWN	CNN2		calponin 2 [Source:HGNC Symbol;Acc:2156]	
ENSG00000100380	ENST00000216218	homo_sapiens	22	41220538	41253026	-	KNOWN	ST13	ST13, AAG2, FAM10A1, FAM10A4, HIP, HOP, HSPABP, HSPABP1, P48, PRO0786, SNC6	suppression of tumorigenicity 13 (colon carcinoma) (Hsp70 interacting protein) [Source:HGNC Symbol;Acc:11343]	
ENSG00000137154	ENST00000380394	homo_sapiens	9	19375712	19380252	-	KNOWN	RPS6	RPS6, S6	ribosomal protein S6 [Source:HGNC Symbol;Acc:10429]	
ENSG00000108518	ENST00000225655	homo_sapiens	17	4848946	4852356	-	KNOWN	PFN1	PFN1, ALS18	profilin 1 [Source:HGNC Symbol;Acc:8881]	
ENSG00000182774	ENST00000330244	homo_sapiens	15	83205503	83209315	-	KNOWN	RPS17L		ribosomal protein S17-like [Source:HGNC Symbol;Acc:40029]	
ENSG00000116251	ENST00000234875	homo_sapiens	1	6241328	6269449	-	KNOWN	RPL22	RPL22, EAP, HBP15, HBP15/L22, L22	ribosomal protein L22 [Source:HGNC Symbol;Acc:10315]	
ENSG00000171863	ENST00000304921	homo_sapiens	2	3622794	3628509	+	KNOWN	RPS7	RPS7, DBA8, S7	ribosomal protein S7 [Source:HGNC Symbol;Acc:10440]	
ENSG00000130707	ENST00000372394	homo_sapiens	9	133320315	133376661	+	KNOWN	ASS1	ASS1, ASS, CTLN1	argininosuccinate synthase 1 [Source:HGNC Symbol;Acc:758]	
ENSG00000100316	ENST00000216146	homo_sapiens	22	39708886	39716394	-	KNOWN	RPL3	RPL3, ASC-1, L3, TARBP-B	ribosomal protein L3 [Source:HGNC Symbol;Acc:10332]	
ENSG00000064995	ENST00000361288	homo_sapiens	6	34845554	34855866	-	KNOWN	TAF11	TAF11, MGC:15243, TAF2I, TAFII28	TAF11 RNA polymerase II, TATA box binding protein (TBP)-associated factor, 28kDa [Source:HGNC Symbol;Acc:11544]	
ENSG00000213585	ENST00000265333	homo_sapiens	5	133307605	133340824	-	KNOWN	VDAC1	VDAC1, PORIN, VDAC-1	voltage-dependent anion channel 1 [Source:HGNC Symbol;Acc:12669]	
ENSG00000269411	ENST00000593327	homo_sapiens	HG1459_PATCH	150062230	150072497	+	KNOWN	HMGB3		high mobility group box 3 [Source:HGNC Symbol;Acc:5004]	
ENSG00000106538	ENST00000466675	homo_sapiens	7	150035407	150038763	-	KNOWN	RARRES2	RARRES2, HP10433, TIG2	retinoic acid receptor responder (tazarotene induced) 2 [Source:HGNC Symbol;Acc:9868]	
ENSG00000174748	ENST00000307839	homo_sapiens	3	23958035	23965183	+	KNOWN	RPL15	RPL15, DBA12, EC45, L15, RPL10, RPLY10, RPYL10	ribosomal protein L15 [Source:HGNC Symbol;Acc:10306]	
ENSG00000130255	ENST00000577222	homo_sapiens	19	5674957	5691887	+	KNOWN	RPL36	RPL36, L36	ribosomal protein L36 [Source:HGNC Symbol;Acc:13631]	
ENSG00000184203	ENST00000328432	homo_sapiens	3	195241220	195270209	-	KNOWN	PPP1R2	PPP1R2, IPP-2, IPP2	protein phosphatase 1, regulatory (inhibitor) subunit 2 [Source:HGNC Symbol;Acc:9288]	
ENSG00000119335	ENST00000372692	homo_sapiens	9	131445702	131458679	+	KNOWN	SET	SET, 2PP2A, I2PP2A, IGAAD, IPP2A2, PHAPII, TAF-I, TAF-IBETA	SET nuclear oncogene [Source:HGNC Symbol;Acc:10760]	
ENSG00000164687	ENST00000297258	homo_sapiens	8	82192597	82197012	+	KNOWN	FABP5	FABP5, E-FABP, EFABP, KFABP, PA-FABP, PAFABP	fatty acid binding protein 5 (psoriasis-associated) [Source:HGNC Symbol;Acc:3560]	
ENSG00000198755	ENST00000322203	homo_sapiens	6	35436184	35438562	+	KNOWN	RPL10A	RPL10A, CSA19, Csa-19, L10A, NEDD6	ribosomal protein L10a [Source:HGNC Symbol;Acc:10299]	
ENSG00000197728	ENST00000356464	homo_sapiens	12	56435636	56438116	+	KNOWN	RPS26	RPS26, DBA10, S26	ribosomal protein S26 [Source:HGNC Symbol;Acc:10414]	
ENSG00000181061	ENST00000452906	homo_sapiens	3	42798668	42846023	-	KNOWN	HIGD1A		HIG1 hypoxia inducible domain family, member 1A [Source:HGNC Symbol;Acc:29527]	
ENSG00000133112	ENST00000530705	homo_sapiens	13	45911007	45915505	-	KNOWN	TPT1	TPT1, HRF, TCTP, p02, p23	tumor protein, translationally-controlled 1 [Source:HGNC Symbol;Acc:12022]	
ENSG00000143977	ENST00000272348	homo_sapiens	2	70508493	70520903	-	KNOWN	SNRPG	SNRPG, SMG, Sm-G	small nuclear ribonucleoprotein polypeptide G [Source:HGNC Symbol;Acc:11163]	
ENSG00000105193	ENST00000251453	homo_sapiens	19	39923846	39926588	-	KNOWN	RPS16	RPS16, S16	ribosomal protein S16 [Source:HGNC Symbol;Acc:10396]	
ENSG00000171314	ENST00000334828	homo_sapiens	10	99185916	99193198	+	KNOWN	PGAM1	PGAM1, HEL-S-35, PGAM-B, PGAMA	phosphoglycerate mutase 1 (brain) [Source:HGNC Symbol;Acc:8888]	
ENSG00000105640	ENST00000222247	homo_sapiens	19	17970684	17974962	+	KNOWN	RPL18A	RPL18A, L18A	ribosomal protein L18a [Source:HGNC Symbol;Acc:10311]	
ENSG00000187514	ENST00000341369	homo_sapiens	2	232571604	232578251	+	KNOWN	PTMA	PTMA, TMSA	prothymosin, alpha [Source:HGNC Symbol;Acc:9623]	
ENSG00000161960	ENST00000293831	homo_sapiens	17	7476023	7482323	+	KNOWN	EIF4A1	EIF4A1, DDX2A, EIF-4A, EIF4A, eIF-4A-I, eIF4A-I	eukaryotic translation initiation factor 4A1 [Source:HGNC Symbol;Acc:3282]	
ENSG00000132475	ENST00000254810	homo_sapiens	17	73772514	73781974	-	KNOWN	H3F3B	H3F3B, H3.3B	H3 histone, family 3B (H3.3B) [Source:HGNC Symbol;Acc:4765]	
ENSG00000232112	ENST00000438607	homo_sapiens	3	48481666	48485616	+	KNOWN	TMA7	TMA7, CCDC72	translation machinery associated 7 homolog (S. cerevisiae) [Source:HGNC Symbol;Acc:26932]	
ENSG00000087086	ENST00000331825	homo_sapiens	19	49468557	49470135	+	KNOWN	FTL	FTL, LFTD, NBIA3	ferritin, light polypeptide [Source:HGNC Symbol;Acc:3999]	
